product_id,name,category,price,brand,stock,created_at
P000001,샤오미 가성비 바디워시 (CA-9710),생활용품,75700,샤오미,481,2026-01-21
P000002,다이소 프리미엄 에어컨 (QB-4582),전자제품,1913900,다이소,270,2026-01-26
P000003,애플 친환경 디퓨저 (XZ-2407),생활용품,26000,애플,408,2026-01-20
P000004,노브랜드 인기 김치 10kg (SZ-9593),식품,21400,노브랜드,439,2026-01-01
P000005,애플 2024년형 바디워시 (PP-6267),생활용품,37400,애플,54,2026-01-04
P000006,나이키 초특가 김치 10kg (FE-1800),식품,38900,나이키,362,2026-01-09
P000007,샤오미 가성비 게이밍 모니터 (UG-7349),전자제품,223500,샤오미,409,2026-01-28
P000008,샤오미 한정판 후드티 (ZO-5360),패션의류,277900,샤오미,432,2026-01-26
P000009,삼성 친환경 물티슈 (IZ-8227),생활용품,95300,삼성,329,2026-01-08
P000010,소니 초경량 삼겹살 600g (UA-0146),식품,28000,소니,337,2026-01-19
P000011,노브랜드 초경량 삼겹살 600g (IM-2102),식품,25300,노브랜드,333,2026-01-20
P000012,아디다스 초특가 후드티 (IF-2977),패션의류,242700,아디다스,70,2026-01-20
P000013,샤오미 프리미엄 물티슈 (UG-7783),생활용품,16300,샤오미,295,2026-01-15
P000014,소니 초경량 디퓨저 (CM-6018),생활용품,90700,소니,331,2026-01-16
P000015,아디다스 2024년형 건조기 (JU-6704),전자제품,2872600,아디다스,6,2026-01-07
P000016,애플 초특가 TV (HN-0263),전자제품,1269100,애플,456,2026-01-03
P000017,나이키 초특가 라면 5입 (ZI-1855),식품,30200,나이키,286,2026-01-28
P000018,삼성 저소음 휴지 30롤 (JB-2388),생활용품,80000,삼성,429,2026-01-15
P000019,다이소 가성비 건조기 (IY-2715),전자제품,1245200,다이소,163,2026-01-21
P000020,나이키 럭셔리 디퓨저 (JM-0545),생활용품,49700,나이키,474,2026-01-07
P000021,쿠팡브랜드 가성비 건조기 (YS-1524),전자제품,2726400,쿠팡브랜드,15,2026-01-26
P000022,나이키 럭셔리 세탁기 (CQ-9232),전자제품,2270100,나이키,229,2026-01-25
P000023,삼성 저소음 햇반 묶음 (KX-4970),식품,16100,삼성,170,2026-01-16
P000024,샤오미 인기 에어컨 (NZ-0838),전자제품,2240500,샤오미,103,2026-01-25
P000025,샤오미 인기 슬랙스 (KX-3248),패션의류,41200,샤오미,295,2026-01-29
P000026,쿠팡브랜드 인기 샴푸 (FO-8047),생활용품,52900,쿠팡브랜드,26,2026-01-12
P000027,아디다스 럭셔리 게이밍 모니터 (BB-0560),전자제품,2595100,아디다스,110,2026-01-06
P000028,샤오미 2024년형 게이밍 모니터 (ES-4767),전자제품,2463300,샤오미,54,2026-01-28
P000029,삼성 프리미엄 TV (EY-9875),전자제품,1023800,삼성,438,2026-01-13
P000030,쿠팡브랜드 인기 샴푸 (DA-6196),생활용품,30600,쿠팡브랜드,431,2026-01-06
P000031,LG 친환경 바디워시 (WG-0971),생활용품,36800,LG,49,2026-01-25
P000032,애플 가성비 패딩 (KI-6473),패션의류,196800,애플,180,2026-01-28
P000033,샤오미 프리미엄 수건 세트 (UD-5646),생활용품,57100,샤오미,355,2026-01-05
P000034,애플 프리미엄 에어컨 (HB-4084),전자제품,474900,애플,73,2026-01-21
P000035,LG 저소음 삼겹살 600g (GI-3186),식품,49200,LG,279,2026-01-04
P000036,LG 2024년형 슬랙스 (YH-3666),패션의류,118600,LG,274,2026-01-22
P000037,쿠팡브랜드 인기 수건 세트 (NR-0845),생활용품,17000,쿠팡브랜드,284,2026-01-19
P000038,삼성 인기 수건 세트 (ZH-1458),생활용품,23400,삼성,101,2026-01-08
P000039,소니 저소음 라면 5입 (PV-3666),식품,26600,소니,184,2026-01-14
P000040,노브랜드 2024년형 샴푸 (PQ-7738),생활용품,9000,노브랜드,358,2026-01-10
P000041,다이소 인기 티셔츠 (WC-4341),패션의류,265000,다이소,305,2026-01-07
P000042,샤오미 럭셔리 햇반 묶음 (UV-6537),식품,4100,샤오미,208,2026-01-21
P000043,LG 친환경 라면 5입 (KH-5634),식품,22400,LG,20,2026-01-02
P000044,샤오미 초특가 슬랙스 (GT-6458),패션의류,64000,샤오미,382,2026-01-09
P000045,나이키 가성비 샴푸 (ZM-8797),생활용품,12700,나이키,104,2026-01-01
P000046,쿠팡브랜드 초경량 사과 5kg (YC-4011),식품,29200,쿠팡브랜드,429,2026-01-23
P000047,소니 럭셔리 패딩 (NH-1984),패션의류,180300,소니,199,2026-01-06
P000048,애플 인기 사과 5kg (KJ-2152),식품,12500,애플,460,2026-01-06
P000049,쿠팡브랜드 프리미엄 티셔츠 (TU-0905),패션의류,115900,쿠팡브랜드,347,2026-01-11
P000050,나이키 2024년형 바람막이 (PH-0333),패션의류,299700,나이키,14,2026-01-29
P000051,나이키 초특가 디퓨저 (YF-5678),생활용품,48400,나이키,410,2026-01-07
P000052,쿠팡브랜드 초특가 냉장고 (GK-4725),전자제품,1615000,쿠팡브랜드,417,2026-01-03
P000053,나이키 초경량 세탁기 (WL-6694),전자제품,1807800,나이키,211,2026-01-10
P000054,다이소 인기 노트북 (OH-2628),전자제품,906200,다이소,413,2026-01-19
P000055,다이소 초특가 디퓨저 (ME-2572),생활용품,66900,다이소,445,2026-01-19
P000056,삼성 친환경 원피스 (NU-9682),패션의류,218800,삼성,329,2026-01-04
P000057,LG 가성비 바람막이 (AY-1491),패션의류,228800,LG,329,2026-01-07
P000058,애플 초경량 삼겹살 600g (NM-6595),식품,18500,애플,297,2026-01-10
P000059,삼성 친환경 패딩 (MB-5093),패션의류,168800,삼성,236,2026-01-04
P000060,애플 럭셔리 휴지 30롤 (PX-5238),생활용품,37900,애플,55,2026-01-01
P000061,노브랜드 초경량 노트북 (NS-1774),전자제품,1344400,노브랜드,117,2026-01-29
P000062,쿠팡브랜드 친환경 디퓨저 (LI-3091),생활용품,53100,쿠팡브랜드,100,2026-01-25
P000063,애플 인기 에어컨 (UQ-4428),전자제품,1844900,애플,496,2026-01-12
P000064,소니 저소음 사과 5kg (FG-2393),식품,26200,소니,380,2026-01-10
P000065,LG 프리미엄 김치 10kg (EC-3770),식품,45600,LG,485,2026-01-15
P000066,쿠팡브랜드 가성비 후드티 (RW-3992),패션의류,125300,쿠팡브랜드,228,2026-01-01
P000067,샤오미 초경량 샴푸 (CA-0963),생활용품,16500,샤오미,353,2026-01-05
P000068,삼성 럭셔리 티셔츠 (OF-9941),패션의류,245200,삼성,382,2026-01-03
P000069,다이소 친환경 슬랙스 (FJ-2104),패션의류,76900,다이소,473,2026-01-09
P000070,애플 2024년형 김치 10kg (YO-7988),식품,18700,애플,480,2026-01-01
P000071,쿠팡브랜드 가성비 세탁기 (YJ-9705),전자제품,2867400,쿠팡브랜드,29,2026-01-27
P000072,노브랜드 프리미엄 패딩 (BZ-6584),패션의류,12700,노브랜드,116,2026-01-04
P000073,샤오미 초특가 사과 5kg (DW-6956),식품,4300,샤오미,303,2026-01-02
P000074,소니 친환경 김치 10kg (EW-8675),식품,37000,소니,204,2026-01-20
P000075,삼성 초경량 티셔츠 (MB-0622),패션의류,268000,삼성,44,2026-01-05
P000076,다이소 프리미엄 수건 세트 (PR-4945),생활용품,61800,다이소,129,2026-01-20
P000077,삼성 인기 슬랙스 (PH-8228),패션의류,68400,삼성,454,2026-01-06
P000078,쿠팡브랜드 초특가 휴지 30롤 (DH-2245),생활용품,5200,쿠팡브랜드,181,2026-01-10
P000079,소니 2024년형 생수 2L (XR-1962),식품,40500,소니,421,2026-01-01
P000080,노브랜드 가성비 게이밍 모니터 (RI-2503),전자제품,1996700,노브랜드,193,2026-01-09
P000081,LG 가성비 삼겹살 600g (BW-1855),식품,43900,LG,267,2026-01-16
P000082,다이소 럭셔리 수건 세트 (MZ-9804),생활용품,29100,다이소,234,2026-01-23
P000083,다이소 한정판 사과 5kg (EW-5774),식품,30600,다이소,162,2026-01-01
P000084,나이키 친환경 샴푸 (EV-3662),생활용품,38300,나이키,170,2026-01-17
P000085,나이키 한정판 원피스 (VD-0456),패션의류,98100,나이키,28,2026-01-24
P000086,쿠팡브랜드 2024년형 라면 5입 (UO-2488),식품,47500,쿠팡브랜드,475,2026-01-22
P000087,아디다스 인기 노트북 (ID-5871),전자제품,2066100,아디다스,384,2026-01-26
P000088,노브랜드 럭셔리 건조기 (BY-9191),전자제품,2410600,노브랜드,171,2026-01-06
P000089,다이소 초특가 김치 10kg (BI-4347),식품,24200,다이소,403,2026-01-05
P000090,LG 저소음 삼겹살 600g (QC-7586),식품,40700,LG,69,2026-01-06
P000091,다이소 가성비 삼겹살 600g (LD-4200),식품,10600,다이소,289,2026-01-22
P000092,소니 가성비 슬랙스 (VY-6502),패션의류,255000,소니,139,2026-01-21
P000093,아디다스 프리미엄 김치 10kg (AF-0713),식품,25000,아디다스,234,2026-01-12
P000094,LG 2024년형 수건 세트 (PW-1006),생활용품,14700,LG,256,2026-01-03
P000095,노브랜드 친환경 바디워시 (VF-4025),생활용품,90000,노브랜드,254,2026-01-14
P000096,노브랜드 2024년형 건조기 (FR-9029),전자제품,1673700,노브랜드,449,2026-01-20
P000097,노브랜드 럭셔리 라면 5입 (MN-3371),식품,44200,노브랜드,318,2026-01-07
P000098,쿠팡브랜드 럭셔리 세탁기 (RT-9306),전자제품,2325400,쿠팡브랜드,37,2026-01-24
P000099,나이키 초경량 삼겹살 600g (VK-6676),식품,7500,나이키,245,2026-01-03
P000100,다이소 한정판 생수 2L (AU-8527),식품,20100,다이소,255,2026-01-18
