timestamp,entity,count,kafka_status,success,failed,duration,tps
2026-02-03 08:50:05,Product,100,OFF,100,0,0.1901,525.90
2026-02-03 08:50:06,Product,100,ON,100,0,0.2037,490.98
2026-02-03 08:50:08,Product,500,OFF,497,3,0.8951,555.22
2026-02-03 08:50:10,Product,500,ON,500,0,0.9333,535.75
2026-02-03 08:50:13,Product,1000,OFF,1000,0,1.6743,597.26
2026-02-03 08:50:16,Product,1000,ON,997,3,1.9471,512.06
2026-02-03 08:50:17,User,100,OFF,100,0,0.2031,492.32
2026-02-03 08:50:18,User,100,ON,100,0,0.2076,481.66
2026-02-03 08:50:20,User,500,OFF,497,3,0.8524,583.05
2026-02-03 08:50:22,User,500,ON,500,0,0.9159,545.94
2026-02-03 08:50:25,User,1000,OFF,999,1,1.7855,559.49
2026-02-03 08:50:28,User,1000,ON,998,2,1.8380,542.97
